jogador_primario,jogador_secundario,arbitro,pecas_pretas,pecas_brancas,data_inicio,data_fim,vencedor,id,chave_campeonato,chave_salao
Player 392,Player 393,Referee 392,0,16,2022-05-30 19:28:21.867876,2022-05-30 20:28:21.867876,Player 393,392,Championship 392,Venue 392
Player 393,Player 394,Referee 393,10,6,2022-05-29 19:28:21.867896,2022-05-29 21:28:21.867896,Player 393,393,Championship 393,Venue 393
Player 394,Player 395,Referee 394,1,15,2022-05-28 19:28:21.867917,2022-05-28 23:28:21.867917,Player 395,394,Championship 394,Venue 394
Player 395,Player 396,Referee 395,12,4,2022-05-27 19:28:21.867938,2022-05-27 20:28:21.867938,Player 396,395,Championship 395,Venue 395
Player 396,Player 397,Referee 396,6,10,2022-05-26 19:28:21.867959,2022-05-26 21:28:21.867959,Player 396,396,Championship 396,Venue 396
Player 397,Player 398,Referee 397,5,11,2022-05-25 19:28:21.867981,2022-05-25 22:28:21.867981,Player 397,397,Championship 397,Venue 397
Player 398,Player 399,Referee 398,14,2,2022-05-24 19:28:21.868002,2022-05-24 20:28:21.868002,Player 398,398,Championship 398,Venue 398
Player 399,Player 400,Referee 399,4,12,2022-05-23 19:28:21.868023,2022-05-23 21:28:21.868023,Player 399,399,Championship 399,Venue 399
Player 400,Player 401,Referee 400,11,5,2022-05-22 19:28:21.868044,2022-05-22 22:28:21.868044,Player 401,400,Championship 400,Venue 400
Player 401,Player 402,Referee 401,2,14,2022-05-21 19:28:21.868066,2022-05-21 21:28:21.868066,Player 401,401,Championship 401,Venue 401
Player 402,Player 403,Referee 402,9,7,2022-05-20 19:28:21.868087,2022-05-20 23:28:21.868087,Player 402,402,Championship 402,Venue 402
Player 403,Player 404,Referee 403,15,1,2022-05-19 19:28:21.868109,2022-05-19 22:28:21.868109,Player 404,403,Championship 403,Venue 403
Player 404,Player 405,Referee 404,12,4,2022-05-18 19:28:21.868130,2022-05-18 23:28:21.868130,Player 404,404,Championship 404,Venue 404
Player 405,Player 406,Referee 405,12,4,2022-05-17 19:28:21.868152,2022-05-17 23:28:21.868152,Player 405,405,Championship 405,Venue 405
Player 406,Player 407,Referee 406,10,6,2022-05-16 19:28:21.868173,2022-05-16 21:28:21.868173,Player 406,406,Championship 406,Venue 406
Player 407,Player 408,Referee 407,7,9,2022-05-15 19:28:21.868194,2022-05-15 23:28:21.868194,Player 408,407,Championship 407,Venue 407
Player 408,Player 409,Referee 408,16,0,2022-05-14 19:28:21.868215,2022-05-15 00:28:21.868215,Player 409,408,Championship 408,Venue 408
Player 409,Player 410,Referee 409,12,4,2022-05-13 19:28:21.868237,2022-05-14 00:28:21.868237,Player 409,409,Championship 409,Venue 409
Player 410,Player 411,Referee 410,9,7,2022-05-12 19:28:21.868259,2022-05-12 20:28:21.868259,Player 411,410,Championship 410,Venue 410
Player 411,Player 412,Referee 411,7,9,2022-05-11 19:28:21.868280,2022-05-11 20:28:21.868280,Player 411,411,Championship 411,Venue 411
Player 412,Player 413,Referee 412,11,5,2022-05-10 19:28:21.868302,2022-05-10 22:28:21.868302,Player 412,412,Championship 412,Venue 412
Player 413,Player 414,Referee 413,4,12,2022-05-09 19:28:21.868324,2022-05-09 23:28:21.868324,Player 414,413,Championship 413,Venue 413
Player 414,Player 415,Referee 414,8,8,2022-05-08 19:28:21.868347,2022-05-09 00:28:21.868347,Player 414,414,Championship 414,Venue 414
Player 415,Player 416,Referee 415,8,8,2022-05-07 19:28:21.868370,2022-05-07 23:28:21.868370,Player 416,415,Championship 415,Venue 415
Player 416,Player 417,Referee 416,0,16,2022-05-06 19:28:21.868391,2022-05-06 20:28:21.868391,Player 417,416,Championship 416,Venue 416
Player 417,Player 418,Referee 417,0,16,2022-05-05 19:28:21.868413,2022-05-06 00:28:21.868413,Player 417,417,Championship 417,Venue 417
Player 418,Player 419,Referee 418,11,5,2022-05-04 19:28:21.868434,2022-05-04 22:28:21.868434,Player 419,418,Championship 418,Venue 418
Player 419,Player 420,Referee 419,11,5,2022-05-03 19:28:21.868455,2022-05-03 20:28:21.868455,Player 419,419,Championship 419,Venue 419
Player 420,Player 421,Referee 420,14,2,2022-05-02 19:28:21.868477,2022-05-02 23:28:21.868477,Player 420,420,Championship 420,Venue 420
Player 421,Player 422,Referee 421,9,7,2022-05-01 19:28:21.868501,2022-05-01 22:28:21.868501,Player 421,421,Championship 421,Venue 421
Player 422,Player 423,Referee 422,15,1,2022-04-30 19:28:21.868525,2022-05-01 00:28:21.868525,Player 422,422,Championship 422,Venue 422
Player 423,Player 424,Referee 423,10,6,2022-04-29 19:28:21.868559,2022-04-30 00:28:21.868559,Player 423,423,Championship 423,Venue 423
Player 424,Player 425,Referee 424,15,1,2022-04-28 19:28:21.868581,2022-04-29 00:28:21.868581,Player 425,424,Championship 424,Venue 424
Player 425,Player 426,Referee 425,7,9,2022-04-27 19:28:21.868604,2022-04-27 20:28:21.868604,Player 426,425,Championship 425,Venue 425
Player 426,Player 427,Referee 426,12,4,2022-04-26 19:28:21.868664,2022-04-26 21:28:21.868664,Player 426,426,Championship 426,Venue 426
Player 427,Player 428,Referee 427,8,8,2022-04-25 19:28:21.868692,2022-04-26 00:28:21.868692,Player 428,427,Championship 427,Venue 427
Player 428,Player 429,Referee 428,4,12,2022-04-24 19:28:21.868715,2022-04-24 23:28:21.868715,Player 428,428,Championship 428,Venue 428
Player 429,Player 430,Referee 429,14,2,2022-04-23 19:28:21.868732,2022-04-23 22:28:21.868732,Player 429,429,Championship 429,Venue 429
Player 430,Player 431,Referee 430,1,15,2022-04-22 19:28:21.868748,2022-04-22 20:28:21.868748,Player 430,430,Championship 430,Venue 430
Player 431,Player 432,Referee 431,9,7,2022-04-21 19:28:21.868767,2022-04-21 22:28:21.868767,Player 432,431,Championship 431,Venue 431
Player 432,Player 433,Referee 432,0,16,2022-04-20 19:28:21.868791,2022-04-21 00:28:21.868791,Player 432,432,Championship 432,Venue 432
Player 433,Player 434,Referee 433,14,2,2022-04-19 19:28:21.868813,2022-04-20 00:28:21.868813,Player 434,433,Championship 433,Venue 433
Player 434,Player 435,Referee 434,15,1,2022-04-18 19:28:21.868834,2022-04-18 23:28:21.868834,Player 435,434,Championship 434,Venue 434
Player 435,Player 436,Referee 435,7,9,2022-04-17 19:28:21.868855,2022-04-17 21:28:21.868855,Player 436,435,Championship 435,Venue 435
Player 436,Player 437,Referee 436,7,9,2022-04-16 19:28:21.868878,2022-04-16 20:28:21.868878,Player 437,436,Championship 436,Venue 436
Player 437,Player 438,Referee 437,11,5,2022-04-15 19:28:21.868893,2022-04-15 20:28:21.868893,Player 438,437,Championship 437,Venue 437
Player 438,Player 439,Referee 438,0,16,2022-04-14 19:28:21.868907,2022-04-14 23:28:21.868907,Player 439,438,Championship 438,Venue 438
Player 439,Player 440,Referee 439,12,4,2022-04-13 19:28:21.868926,2022-04-13 20:28:21.868926,Player 439,439,Championship 439,Venue 439
Player 440,Player 441,Referee 440,9,7,2022-04-12 19:28:21.868948,2022-04-13 00:28:21.868948,Player 440,440,Championship 440,Venue 440
Player 441,Player 442,Referee 441,5,11,2022-04-11 19:28:21.868977,2022-04-11 21:28:21.868977,Player 442,441,Championship 441,Venue 441
Player 442,Player 443,Referee 442,3,13,2022-04-10 19:28:21.869004,2022-04-10 20:28:21.869004,Player 442,442,Championship 442,Venue 442
Player 443,Player 444,Referee 443,3,13,2022-04-09 19:28:21.869034,2022-04-09 21:28:21.869034,Player 443,443,Championship 443,Venue 443
Player 444,Player 445,Referee 444,16,0,2022-04-08 19:28:21.869064,2022-04-08 21:28:21.869064,Player 444,444,Championship 444,Venue 444
Player 445,Player 446,Referee 445,14,2,2022-04-07 19:28:21.869085,2022-04-07 20:28:21.869085,Player 445,445,Championship 445,Venue 445
Player 446,Player 447,Referee 446,12,4,2022-04-06 19:28:21.869105,2022-04-06 20:28:21.869105,Player 447,446,Championship 446,Venue 446
Player 447,Player 448,Referee 447,13,3,2022-04-05 19:28:21.869124,2022-04-05 22:28:21.869124,Player 447,447,Championship 447,Venue 447
Player 448,Player 449,Referee 448,14,2,2022-04-04 19:28:21.869143,2022-04-04 22:28:21.869143,Player 449,448,Championship 448,Venue 448
Player 449,Player 450,Referee 449,1,15,2022-04-03 19:28:21.869162,2022-04-03 23:28:21.869162,Player 449,449,Championship 449,Venue 449
Player 450,Player 451,Referee 450,1,15,2022-04-02 19:28:21.869181,2022-04-02 21:28:21.869181,Player 450,450,Championship 450,Venue 450
Player 451,Player 452,Referee 451,3,13,2022-04-01 19:28:21.869200,2022-04-02 00:28:21.869200,Player 452,451,Championship 451,Venue 451
Player 452,Player 453,Referee 452,7,9,2022-03-31 19:28:21.869218,2022-03-31 21:28:21.869218,Player 452,452,Championship 452,Venue 452
Player 453,Player 454,Referee 453,11,5,2022-03-30 19:28:21.869237,2022-03-30 22:28:21.869237,Player 453,453,Championship 453,Venue 453
Player 454,Player 455,Referee 454,15,1,2022-03-29 19:28:21.869256,2022-03-29 22:28:21.869256,Player 455,454,Championship 454,Venue 454
Player 455,Player 456,Referee 455,4,12,2022-03-28 19:28:21.869273,2022-03-28 22:28:21.869273,Player 456,455,Championship 455,Venue 455
Player 456,Player 457,Referee 456,7,9,2022-03-27 19:28:21.869291,2022-03-28 00:28:21.869291,Player 456,456,Championship 456,Venue 456
Player 457,Player 458,Referee 457,6,10,2022-03-26 19:28:21.869309,2022-03-26 20:28:21.869309,Player 457,457,Championship 457,Venue 457
Player 458,Player 459,Referee 458,1,15,2022-03-25 19:28:21.869328,2022-03-25 22:28:21.869328,Player 458,458,Championship 458,Venue 458
Player 459,Player 460,Referee 459,8,8,2022-03-24 19:28:21.869345,2022-03-24 23:28:21.869345,Player 459,459,Championship 459,Venue 459
Player 460,Player 461,Referee 460,14,2,2022-03-23 19:28:21.869363,2022-03-23 23:28:21.869363,Player 461,460,Championship 460,Venue 460
Player 461,Player 462,Referee 461,13,3,2022-03-22 19:28:21.869381,2022-03-23 00:28:21.869381,Player 461,461,Championship 461,Venue 461
Player 462,Player 463,Referee 462,5,11,2022-03-21 19:28:21.869398,2022-03-21 23:28:21.869398,Player 463,462,Championship 462,Venue 462
Player 463,Player 464,Referee 463,3,13,2022-03-20 19:28:21.869416,2022-03-20 22:28:21.869416,Player 463,463,Championship 463,Venue 463
Player 464,Player 465,Referee 464,7,9,2022-03-19 19:28:21.869434,2022-03-20 00:28:21.869434,Player 464,464,Championship 464,Venue 464
Player 465,Player 466,Referee 465,15,1,2022-03-18 19:28:21.869452,2022-03-19 00:28:21.869452,Player 465,465,Championship 465,Venue 465
Player 466,Player 467,Referee 466,16,0,2022-03-17 19:28:21.869471,2022-03-17 21:28:21.869471,Player 466,466,Championship 466,Venue 466
Player 467,Player 468,Referee 467,4,12,2022-03-16 19:28:21.869489,2022-03-16 22:28:21.869489,Player 467,467,Championship 467,Venue 467
Player 468,Player 469,Referee 468,6,10,2022-03-15 19:28:21.869507,2022-03-16 00:28:21.869507,Player 469,468,Championship 468,Venue 468
Player 469,Player 470,Referee 469,3,13,2022-03-14 19:28:21.869525,2022-03-15 00:28:21.869525,Player 470,469,Championship 469,Venue 469
Player 470,Player 471,Referee 470,7,9,2022-03-13 19:28:21.869543,2022-03-13 21:28:21.869543,Player 471,470,Championship 470,Venue 470
Player 471,Player 472,Referee 471,1,15,2022-03-12 19:28:21.869561,2022-03-12 23:28:21.869561,Player 471,471,Championship 471,Venue 471
Player 472,Player 473,Referee 472,15,1,2022-03-11 19:28:21.869578,2022-03-11 20:28:21.869578,Player 472,472,Championship 472,Venue 472
Player 473,Player 474,Referee 473,14,2,2022-03-10 19:28:21.869596,2022-03-10 23:28:21.869596,Player 474,473,Championship 473,Venue 473
Player 474,Player 475,Referee 474,14,2,2022-03-09 19:28:21.869614,2022-03-09 23:28:21.869614,Player 475,474,Championship 474,Venue 474
Player 475,Player 476,Referee 475,2,14,2022-03-08 19:28:21.869631,2022-03-08 20:28:21.869631,Player 476,475,Championship 475,Venue 475
Player 476,Player 477,Referee 476,12,4,2022-03-07 19:28:21.869649,2022-03-07 20:28:21.869649,Player 476,476,Championship 476,Venue 476
Player 477,Player 478,Referee 477,9,7,2022-03-06 19:28:21.869667,2022-03-07 00:28:21.869667,Player 478,477,Championship 477,Venue 477
Player 478,Player 479,Referee 478,5,11,2022-03-05 19:28:21.869685,2022-03-06 00:28:21.869685,Player 479,478,Championship 478,Venue 478
Player 479,Player 480,Referee 479,11,5,2022-03-04 19:28:21.869703,2022-03-04 22:28:21.869703,Player 480,479,Championship 479,Venue 479
Player 480,Player 481,Referee 480,7,9,2022-03-03 19:28:21.869720,2022-03-03 21:28:21.869720,Player 480,480,Championship 480,Venue 480
Player 481,Player 482,Referee 481,9,7,2022-03-02 19:28:21.869738,2022-03-03 00:28:21.869738,Player 482,481,Championship 481,Venue 481
Player 482,Player 483,Referee 482,8,8,2022-03-01 19:28:21.869756,2022-03-01 23:28:21.869756,Player 483,482,Championship 482,Venue 482
Player 483,Player 484,Referee 483,11,5,2022-02-28 19:28:21.869773,2022-03-01 00:28:21.869773,Player 484,483,Championship 483,Venue 483
Player 484,Player 485,Referee 484,9,7,2022-02-27 19:28:21.869791,2022-02-27 23:28:21.869791,Player 485,484,Championship 484,Venue 484
Player 485,Player 486,Referee 485,6,10,2022-02-26 19:28:21.869809,2022-02-26 23:28:21.869809,Player 486,485,Championship 485,Venue 485
Player 486,Player 487,Referee 486,12,4,2022-02-25 19:28:21.869902,2022-02-25 20:28:21.869902,Player 487,486,Championship 486,Venue 486
Player 487,Player 488,Referee 487,9,7,2022-02-24 19:28:21.869926,2022-02-24 22:28:21.869926,Player 487,487,Championship 487,Venue 487
Player 488,Player 489,Referee 488,12,4,2022-02-23 19:28:21.869943,2022-02-23 23:28:21.869943,Player 488,488,Championship 488,Venue 488
Player 489,Player 490,Referee 489,9,7,2022-02-22 19:28:21.869961,2022-02-23 00:28:21.869961,Player 490,489,Championship 489,Venue 489
Player 490,Player 491,Referee 490,16,0,2022-02-21 19:28:21.869978,2022-02-21 20:28:21.869978,Player 491,490,Championship 490,Venue 490
Player 491,Player 492,Referee 491,14,2,2022-02-20 19:28:21.869996,2022-02-21 00:28:21.869996,Player 492,491,Championship 491,Venue 491
Player 492,Player 493,Referee 492,4,12,2022-02-19 19:28:21.870014,2022-02-20 00:28:21.870014,Player 492,492,Championship 492,Venue 492
Player 493,Player 494,Referee 493,7,9,2022-02-18 19:28:21.870032,2022-02-19 00:28:21.870032,Player 494,493,Championship 493,Venue 493
Player 494,Player 495,Referee 494,13,3,2022-02-17 19:28:21.870050,2022-02-17 23:28:21.870050,Player 495,494,Championship 494,Venue 494
Player 495,Player 496,Referee 495,14,2,2022-02-16 19:28:21.870068,2022-02-16 22:28:21.870068,Player 496,495,Championship 495,Venue 495
Player 496,Player 497,Referee 496,12,4,2022-02-15 19:28:21.870085,2022-02-15 22:28:21.870085,Player 496,496,Championship 496,Venue 496
Player 497,Player 498,Referee 497,3,13,2022-02-14 19:28:21.870103,2022-02-14 21:28:21.870103,Player 498,497,Championship 497,Venue 497
Player 498,Player 499,Referee 498,2,14,2022-02-13 19:28:21.870121,2022-02-13 20:28:21.870121,Player 498,498,Championship 498,Venue 498
Player 499,Player 500,Referee 499,9,7,2022-02-12 19:28:21.870138,2022-02-13 00:28:21.870138,Player 499,499,Championship 499,Venue 499
Player 500,Player 501,Referee 500,5,11,2022-02-11 19:28:21.870156,2022-02-12 00:28:21.870156,Player 500,500,Championship 500,Venue 500
Player 501,Player 502,Referee 501,6,10,2022-02-10 19:28:21.870174,2022-02-10 20:28:21.870174,Player 501,501,Championship 501,Venue 501
Player 502,Player 503,Referee 502,13,3,2022-02-09 19:28:21.870192,2022-02-09 20:28:21.870192,Player 503,502,Championship 502,Venue 502
Player 503,Player 504,Referee 503,5,11,2022-02-08 19:28:21.870209,2022-02-09 00:28:21.870209,Player 503,503,Championship 503,Venue 503
Player 504,Player 505,Referee 504,1,15,2022-02-07 19:28:21.870227,2022-02-07 22:28:21.870227,Player 505,504,Championship 504,Venue 504
Player 505,Player 506,Referee 505,14,2,2022-02-06 19:28:21.870245,2022-02-06 20:28:21.870245,Player 506,505,Championship 505,Venue 505
Player 506,Player 507,Referee 506,14,2,2022-02-05 19:28:21.870262,2022-02-05 20:28:21.870262,Player 507,506,Championship 506,Venue 506
Player 507,Player 508,Referee 507,4,12,2022-02-04 19:28:21.870280,2022-02-05 00:28:21.870280,Player 508,507,Championship 507,Venue 507
Player 508,Player 509,Referee 508,1,15,2022-02-03 19:28:21.870298,2022-02-03 23:28:21.870298,Player 509,508,Championship 508,Venue 508
Player 509,Player 510,Referee 509,8,8,2022-02-02 19:28:21.870315,2022-02-02 23:28:21.870315,Player 509,509,Championship 509,Venue 509
Player 510,Player 511,Referee 510,7,9,2022-02-01 19:28:21.870333,2022-02-01 22:28:21.870333,Player 511,510,Championship 510,Venue 510
Player 511,Player 512,Referee 511,7,9,2022-01-31 19:28:21.870351,2022-01-31 20:28:21.870351,Player 511,511,Championship 511,Venue 511
Player 512,Player 513,Referee 512,12,4,2022-01-30 19:28:21.870369,2022-01-30 21:28:21.870369,Player 512,512,Championship 512,Venue 512
Player 513,Player 514,Referee 513,5,11,2022-01-29 19:28:21.870408,2022-01-30 00:28:21.870408,Player 513,513,Championship 513,Venue 513
Player 514,Player 515,Referee 514,9,7,2022-01-28 19:28:21.870436,2022-01-28 20:28:21.870436,Player 514,514,Championship 514,Venue 514
Player 515,Player 516,Referee 515,0,16,2022-01-27 19:28:21.870463,2022-01-28 00:28:21.870463,Player 516,515,Championship 515,Venue 515
Player 516,Player 517,Referee 516,2,14,2022-01-26 19:28:21.870489,2022-01-26 20:28:21.870489,Player 517,516,Championship 516,Venue 516
Player 517,Player 518,Referee 517,15,1,2022-01-25 19:28:21.870536,2022-01-26 00:28:21.870536,Player 517,517,Championship 517,Venue 517
Player 518,Player 519,Referee 518,9,7,2022-01-24 19:28:21.870565,2022-01-25 00:28:21.870565,Player 518,518,Championship 518,Venue 518
Player 519,Player 520,Referee 519,9,7,2022-01-23 19:28:21.870593,2022-01-23 22:28:21.870593,Player 520,519,Championship 519,Venue 519
Player 520,Player 521,Referee 520,3,13,2022-01-22 19:28:21.870621,2022-01-22 20:28:21.870621,Player 520,520,Championship 520,Venue 520
Player 521,Player 522,Referee 521,5,11,2022-01-21 19:28:21.870649,2022-01-21 20:28:21.870649,Player 522,521,Championship 521,Venue 521
Player 522,Player 523,Referee 522,7,9,2022-01-20 19:28:21.870679,2022-01-20 23:28:21.870679,Player 523,522,Championship 522,Venue 522
Player 523,Player 524,Referee 523,11,5,2022-01-19 19:28:21.870708,2022-01-19 22:28:21.870708,Player 524,523,Championship 523,Venue 523
Player 524,Player 525,Referee 524,6,10,2022-01-18 19:28:21.870737,2022-01-18 22:28:21.870737,Player 525,524,Championship 524,Venue 524
Player 525,Player 526,Referee 525,16,0,2022-01-17 19:28:21.870765,2022-01-17 22:28:21.870765,Player 525,525,Championship 525,Venue 525
Player 526,Player 527,Referee 526,6,10,2022-01-16 19:28:21.870793,2022-01-16 23:28:21.870793,Player 527,526,Championship 526,Venue 526
Player 527,Player 528,Referee 527,13,3,2022-01-15 19:28:21.870822,2022-01-15 20:28:21.870822,Player 527,527,Championship 527,Venue 527
Player 528,Player 529,Referee 528,16,0,2022-01-14 19:28:21.870851,2022-01-14 21:28:21.870851,Player 529,528,Championship 528,Venue 528
Player 529,Player 530,Referee 529,2,14,2022-01-13 19:28:21.870876,2022-01-13 20:28:21.870876,Player 530,529,Championship 529,Venue 529
Player 530,Player 531,Referee 530,4,12,2022-01-12 19:28:21.870903,2022-01-12 21:28:21.870903,Player 531,530,Championship 530,Venue 530
Player 531,Player 532,Referee 531,16,0,2022-01-11 19:28:21.870933,2022-01-11 23:28:21.870933,Player 531,531,Championship 531,Venue 531
Player 532,Player 533,Referee 532,10,6,2022-01-10 19:28:21.870966,2022-01-10 22:28:21.870966,Player 533,532,Championship 532,Venue 532
Player 533,Player 534,Referee 533,11,5,2022-01-09 19:28:21.870992,2022-01-10 00:28:21.870992,Player 534,533,Championship 533,Venue 533
Player 534,Player 535,Referee 534,10,6,2022-01-08 19:28:21.871022,2022-01-08 23:28:21.871022,Player 535,534,Championship 534,Venue 534
Player 535,Player 536,Referee 535,8,8,2022-01-07 19:28:21.871051,2022-01-08 00:28:21.871051,Player 536,535,Championship 535,Venue 535
Player 536,Player 537,Referee 536,3,13,2022-01-06 19:28:21.871081,2022-01-06 20:28:21.871081,Player 537,536,Championship 536,Venue 536
Player 537,Player 538,Referee 537,0,16,2022-01-05 19:28:21.871110,2022-01-06 00:28:21.871110,Player 537,537,Championship 537,Venue 537
Player 538,Player 539,Referee 538,10,6,2022-01-04 19:28:21.871137,2022-01-04 23:28:21.871137,Player 538,538,Championship 538,Venue 538
Player 539,Player 540,Referee 539,5,11,2022-01-03 19:28:21.871165,2022-01-03 21:28:21.871165,Player 539,539,Championship 539,Venue 539
Player 540,Player 541,Referee 540,3,13,2022-01-02 19:28:21.871194,2022-01-02 21:28:21.871194,Player 540,540,Championship 540,Venue 540
Player 541,Player 542,Referee 541,1,15,2022-01-01 19:28:21.871225,2022-01-01 21:28:21.871225,Player 541,541,Championship 541,Venue 541
Player 542,Player 543,Referee 542,12,4,2021-12-31 19:28:21.871256,2021-12-31 23:28:21.871256,Player 543,542,Championship 542,Venue 542
Player 543,Player 544,Referee 543,10,6,2021-12-30 19:28:21.871282,2021-12-30 23:28:21.871282,Player 543,543,Championship 543,Venue 543
Player 544,Player 545,Referee 544,1,15,2021-12-29 19:28:21.871313,2021-12-29 23:28:21.871313,Player 544,544,Championship 544,Venue 544
Player 545,Player 546,Referee 545,7,9,2021-12-28 19:28:21.871340,2021-12-28 20:28:21.871340,Player 546,545,Championship 545,Venue 545
Player 546,Player 547,Referee 546,0,16,2021-12-27 19:28:21.871447,2021-12-27 21:28:21.871447,Player 546,546,Championship 546,Venue 546
Player 547,Player 548,Referee 547,9,7,2021-12-26 19:28:21.871490,2021-12-26 21:28:21.871490,Player 547,547,Championship 547,Venue 547
Player 548,Player 549,Referee 548,1,15,2021-12-25 19:28:21.871527,2021-12-25 20:28:21.871527,Player 549,548,Championship 548,Venue 548
Player 549,Player 550,Referee 549,10,6,2021-12-24 19:28:21.871548,2021-12-24 20:28:21.871548,Player 549,549,Championship 549,Venue 549
Player 550,Player 551,Referee 550,5,11,2021-12-23 19:28:21.871569,2021-12-23 21:28:21.871569,Player 551,550,Championship 550,Venue 550
Player 551,Player 552,Referee 551,4,12,2021-12-22 19:28:21.871590,2021-12-22 23:28:21.871590,Player 551,551,Championship 551,Venue 551
Player 552,Player 553,Referee 552,7,9,2021-12-21 19:28:21.871613,2021-12-21 21:28:21.871613,Player 553,552,Championship 552,Venue 552
Player 553,Player 554,Referee 553,5,11,2021-12-20 19:28:21.871637,2021-12-20 21:28:21.871637,Player 553,553,Championship 553,Venue 553
Player 554,Player 555,Referee 554,2,14,2021-12-19 19:28:21.871661,2021-12-20 00:28:21.871661,Player 555,554,Championship 554,Venue 554
Player 555,Player 556,Referee 555,1,15,2021-12-18 19:28:21.871682,2021-12-19 00:28:21.871682,Player 556,555,Championship 555,Venue 555
Player 556,Player 557,Referee 556,12,4,2021-12-17 19:28:21.871700,2021-12-18 00:28:21.871700,Player 557,556,Championship 556,Venue 556
Player 557,Player 558,Referee 557,5,11,2021-12-16 19:28:21.871717,2021-12-16 22:28:21.871717,Player 557,557,Championship 557,Venue 557
Player 558,Player 559,Referee 558,13,3,2021-12-15 19:28:21.871735,2021-12-16 00:28:21.871735,Player 559,558,Championship 558,Venue 558
Player 559,Player 560,Referee 559,12,4,2021-12-14 19:28:21.871754,2021-12-14 22:28:21.871754,Player 559,559,Championship 559,Venue 559
Player 560,Player 561,Referee 560,15,1,2021-12-13 19:28:21.871773,2021-12-13 22:28:21.871773,Player 561,560,Championship 560,Venue 560
Player 561,Player 562,Referee 561,2,14,2021-12-12 19:28:21.871793,2021-12-12 21:28:21.871793,Player 561,561,Championship 561,Venue 561
Player 562,Player 563,Referee 562,6,10,2021-12-11 19:28:21.871813,2021-12-12 00:28:21.871813,Player 563,562,Championship 562,Venue 562
Player 563,Player 564,Referee 563,7,9,2021-12-10 19:28:21.871833,2021-12-10 22:28:21.871833,Player 564,563,Championship 563,Venue 563
Player 564,Player 565,Referee 564,3,13,2021-12-09 19:28:21.871852,2021-12-09 21:28:21.871852,Player 564,564,Championship 564,Venue 564
Player 565,Player 566,Referee 565,9,7,2021-12-08 19:28:21.871870,2021-12-08 20:28:21.871870,Player 565,565,Championship 565,Venue 565
Player 566,Player 567,Referee 566,13,3,2021-12-07 19:28:21.871890,2021-12-07 23:28:21.871890,Player 567,566,Championship 566,Venue 566
Player 567,Player 568,Referee 567,6,10,2021-12-06 19:28:21.871911,2021-12-07 00:28:21.871911,Player 568,567,Championship 567,Venue 567
Player 568,Player 569,Referee 568,3,13,2021-12-05 19:28:21.871933,2021-12-05 20:28:21.871933,Player 569,568,Championship 568,Venue 568
Player 569,Player 570,Referee 569,16,0,2021-12-04 19:28:21.871952,2021-12-04 22:28:21.871952,Player 570,569,Championship 569,Venue 569
Player 570,Player 571,Referee 570,8,8,2021-12-03 19:28:21.871972,2021-12-03 23:28:21.871972,Player 570,570,Championship 570,Venue 570
Player 571,Player 572,Referee 571,13,3,2021-12-02 19:28:21.871992,2021-12-02 20:28:21.871992,Player 571,571,Championship 571,Venue 571
Player 572,Player 573,Referee 572,1,15,2021-12-01 19:28:21.872012,2021-12-01 20:28:21.872012,Player 573,572,Championship 572,Venue 572
Player 573,Player 574,Referee 573,6,10,2021-11-30 19:28:21.872031,2021-11-30 21:28:21.872031,Player 574,573,Championship 573,Venue 573
Player 574,Player 575,Referee 574,12,4,2021-11-29 19:28:21.872052,2021-11-29 23:28:21.872052,Player 574,574,Championship 574,Venue 574
Player 575,Player 576,Referee 575,11,5,2021-11-28 19:28:21.872073,2021-11-28 22:28:21.872073,Player 575,575,Championship 575,Venue 575
Player 576,Player 577,Referee 576,10,6,2021-11-27 19:28:21.872091,2021-11-27 23:28:21.872091,Player 576,576,Championship 576,Venue 576
Player 577,Player 578,Referee 577,4,12,2021-11-26 19:28:21.872111,2021-11-26 21:28:21.872111,Player 577,577,Championship 577,Venue 577
Player 578,Player 579,Referee 578,0,16,2021-11-25 19:28:21.872132,2021-11-26 00:28:21.872132,Player 578,578,Championship 578,Venue 578
Player 579,Player 580,Referee 579,1,15,2021-11-24 19:28:21.872152,2021-11-24 22:28:21.872152,Player 579,579,Championship 579,Venue 579
Player 580,Player 581,Referee 580,6,10,2021-11-23 19:28:21.872172,2021-11-23 22:28:21.872172,Player 580,580,Championship 580,Venue 580
Player 581,Player 582,Referee 581,4,12,2021-11-22 19:28:21.872191,2021-11-22 21:28:21.872191,Player 582,581,Championship 581,Venue 581
Player 582,Player 583,Referee 582,2,14,2021-11-21 19:28:21.872210,2021-11-22 00:28:21.872210,Player 582,582,Championship 582,Venue 582
Player 583,Player 584,Referee 583,3,13,2021-11-20 19:28:21.872229,2021-11-20 21:28:21.872229,Player 584,583,Championship 583,Venue 583
Player 584,Player 585,Referee 584,2,14,2021-11-19 19:28:21.872248,2021-11-19 23:28:21.872248,Player 584,584,Championship 584,Venue 584
Player 585,Player 586,Referee 585,11,5,2021-11-18 19:28:21.872266,2021-11-18 22:28:21.872266,Player 585,585,Championship 585,Venue 585
Player 586,Player 587,Referee 586,14,2,2021-11-17 19:28:21.872285,2021-11-17 21:28:21.872285,Player 587,586,Championship 586,Venue 586
Player 587,Player 588,Referee 587,4,12,2021-11-16 19:28:21.872304,2021-11-16 21:28:21.872304,Player 588,587,Championship 587,Venue 587
